id_tweet,views,created_at,conversation_id_str,full_text,possibly_sensitive,reply_count,retweet_count,favorite_count,is_blue_verified,default_profile,default_profile_image,description,fast_followers_count,favourites_count,followers_count,location,name,normal_followers_count,screen_name,verified,professional,integridade_usuario
1727116989355938213,140,Mon Mar 15 19:36:34 +0000 2010,1727116989355938213,"Natal Sem Fome 2023: um chamado à solidariedade! 🎄 A partir de hoje, iniciamos uma campanha em prol das famílias em situação de vulnerabilidade em Campinas. Faça sua doação de alimentos nos postos identificados. Juntos podemos fazer a diferença na vida dessas pessoas.⬇️ https://t.co/egMQz5dwG7",False,2,0,4,True,False,False,"Sou médico urologista, fui vereador 4x, presidente do Hospital Mário Gatti, Secretário de Esportes de Campinas e eleito Prefeito de Campinas.",0,44,3356,Campinas,Dário Saadi,3356,dariosaadi,False,,8
1724383847624671387,191,Tue Mar 29 00:52:53 +0000 2016,1724383847624671387,"Dário Saadi do Republicanos pode receber 37 mil de salário, com a desculpa de teto para os servidores, qdo recebemos menos de 5% de reajuste. N bastasse, deixam de fora do recebimento do bônus, trab. que afastaram por motivo de saúde, inclusive adoecidos pelo trabalho. Escárnio!",False,0,2,3,False,False,False,"Militante do MRT e Pão e Rosas, assistente social e pedagoga. Contribua com o Esquerda Diário!",0,2736,350,"Campinas, Brasil",Tassia,350,tassiapc,False,,5
1725307751562191208,205,Wed May 27 16:20:28 +0000 2009,1725307751562191208,alguém avise dario saadi,False,0,0,8,False,False,False,"INFJ. Mestra em Música, doutoranda em Educação. Mahou shoujo. Pianista. Professora. Fada madrinha. Foragida da polícia vegana. A menina que roubou as estrelas ★",0,24309,1915,"Campinas, SP",cinderela vietnamita,1915,PaattyK,False,,5
1727290137078378903,86,Mon Mar 15 19:36:34 +0000 2010,1727290137078378903,"Fui conferir de perto as obras do BRT Ouro Verde. A gente tá construindo um terminal com escadas rolantes, elevadores para acessibilidade, e que vai ser interligado com o Terminal Ouro Verde e o Hospital Ouro Verde.  Lamentavelmente, o consórcio anterior abandonou as obras do BRT… https://t.co/X1WmjufkRr",False,0,0,0,True,False,False,"Sou médico urologista, fui vereador 4x, presidente do Hospital Mário Gatti, Secretário de Esportes de Campinas e eleito Prefeito de Campinas.",0,44,3356,Campinas,Dário Saadi,3356,dariosaadi,False,,8
1727061409614483761,246,Fri Jun 15 20:57:30 +0000 2018,1727061409614483761,o dário saadi,False,1,0,6,False,False,False,acervo escatológico | aprendiz de tatuagem,0,109640,436,qualquer pronome ,circe,436,noodszs,False,,5
1726571269452415158,275,Mon Mar 15 19:36:34 +0000 2010,1726571269452415158,"Tem praça novinha pros moradores do Jardim América, lá em Barão Geraldo. Um espaço incrível com campos, playground, pista de caminhada e iluminação em LED. É esporte, lazer e qualidade de vida para todos. https://t.co/DDlzrWOCqD",False,1,0,5,True,False,False,"Sou médico urologista, fui vereador 4x, presidente do Hospital Mário Gatti, Secretário de Esportes de Campinas e eleito Prefeito de Campinas.",0,44,3356,Campinas,Dário Saadi,3356,dariosaadi,False,,8
1725231635501548005,441,Mon Mar 15 19:36:34 +0000 2010,1725231635501548005,"Diante do alerta da Defesa Civil para fortes chuvas e ventos intensos de até 100km/h, reforço nosso compromisso com a segurança de todos. Já deixei 100% das equipes de prontidão para emergências. Evitem áreas que possam alagar e fiquem longe de grandes árvores. Em caso de… https://t.co/ccAS4zQiMt",False,3,0,6,True,False,False,"Sou médico urologista, fui vereador 4x, presidente do Hospital Mário Gatti, Secretário de Esportes de Campinas e eleito Prefeito de Campinas.",0,44,3356,Campinas,Dário Saadi,3356,dariosaadi,False,,8
1725333883145650523,54,Fri Mar 07 02:46:13 +0000 2014,1725333883145650523,Que absurdo!!!!!! Lembro de casos de assaltos na região em 2009 e os estudantes pedindo por segurança. Passaram mais de 10 anos e nada?!  @dariosaadi @campinaspref,False,0,0,0,False,False,False,Provavelmente falando de música e futebol feminino enquanto tomo café com bolo. ✨ Ela/Dela,0,33801,168,,Helô Fahl,168,helofahl,False,,5
1725873901320700141,39,Thu Mar 09 21:36:37 +0000 2023,1725873901320700141,As intervenções de grande porte não ocorreram e algumas ainda são arrastadas incógnitas para última parte do mandato do prefeito Dário Saadi (Republicanos).  https://t.co/vO0i44lX7F,False,0,0,1,False,True,False,Podcast de entrevista da região de Campinas,0,53,40,Campinas,FPX Cast,40,fpxcast,False,,4
1724891412943270103,5,Wed Feb 01 15:30:06 +0000 2012,1724891412943270103,@dariosaadi https://t.co/JSSVuCX5eV,False,0,0,0,False,False,False,"A vida, nada mais é um aprendizado, além este universo. O mundo sim, é contínuo. (Silvio Sabino)...",0,1918,34,"Campinas, Brasil",Silvio Sabino Silvao,34,Silvio_A_Sabino,False,,5
1724891443322613987,1,Wed Feb 01 15:30:06 +0000 2012,1724891443322613987,@dariosaadi https://t.co/xTpsTOBvM6,False,0,0,0,False,False,False,"A vida, nada mais é um aprendizado, além este universo. O mundo sim, é contínuo. (Silvio Sabino)...",0,1918,34,"Campinas, Brasil",Silvio Sabino Silvao,34,Silvio_A_Sabino,False,,5
1724891349860905192,3,Wed Feb 01 15:30:06 +0000 2012,1724891349860905192,@dariosaadi https://t.co/sGMT9qdcQC,False,0,0,0,False,False,False,"A vida, nada mais é um aprendizado, além este universo. O mundo sim, é contínuo. (Silvio Sabino)...",0,1918,34,"Campinas, Brasil",Silvio Sabino Silvao,34,Silvio_A_Sabino,False,,5
1724892379608719538,6,Wed Feb 01 15:30:06 +0000 2012,1724892379608719538,@dariosaadi https://t.co/O8yYRvD9iD,False,0,0,0,False,False,False,"A vida, nada mais é um aprendizado, além este universo. O mundo sim, é contínuo. (Silvio Sabino)...",0,1918,34,"Campinas, Brasil",Silvio Sabino Silvao,34,Silvio_A_Sabino,False,,5
1724892408482246792,6,Wed Feb 01 15:30:06 +0000 2012,1724892408482246792,@dariosaadi https://t.co/9ndMKRvDHE,False,0,0,0,False,False,False,"A vida, nada mais é um aprendizado, além este universo. O mundo sim, é contínuo. (Silvio Sabino)...",0,1918,34,"Campinas, Brasil",Silvio Sabino Silvao,34,Silvio_A_Sabino,False,,5
1724898793886470371,5,Wed Feb 01 15:30:06 +0000 2012,1724898793886470371,@dariosaadi https://t.co/b0tH1r9EDh,False,0,0,0,False,False,False,"A vida, nada mais é um aprendizado, além este universo. O mundo sim, é contínuo. (Silvio Sabino)...",0,1918,34,"Campinas, Brasil",Silvio Sabino Silvao,34,Silvio_A_Sabino,False,,5
1724891473341268237,7,Wed Feb 01 15:30:06 +0000 2012,1724891473341268237,@dariosaadi https://t.co/UAdJTE58Ki,False,0,0,0,False,False,False,"A vida, nada mais é um aprendizado, além este universo. O mundo sim, é contínuo. (Silvio Sabino)...",0,1918,34,"Campinas, Brasil",Silvio Sabino Silvao,34,Silvio_A_Sabino,False,,5
1724891497865290071,7,Wed Feb 01 15:30:06 +0000 2012,1724891497865290071,@dariosaadi https://t.co/hgZRG0EXrp,False,0,0,0,False,False,False,"A vida, nada mais é um aprendizado, além este universo. O mundo sim, é contínuo. (Silvio Sabino)...",0,1918,34,"Campinas, Brasil",Silvio Sabino Silvao,34,Silvio_A_Sabino,False,,5
1724892435753718217,6,Wed Feb 01 15:30:06 +0000 2012,1724892435753718217,@dariosaadi https://t.co/UOQdlm50PB,False,0,0,0,False,False,False,"A vida, nada mais é um aprendizado, além este universo. O mundo sim, é contínuo. (Silvio Sabino)...",0,1918,34,"Campinas, Brasil",Silvio Sabino Silvao,34,Silvio_A_Sabino,False,,5
1724892485191946727,9,Wed Feb 01 15:30:06 +0000 2012,1724892485191946727,@dariosaadi https://t.co/5IV81n4CUt,False,0,0,0,False,False,False,"A vida, nada mais é um aprendizado, além este universo. O mundo sim, é contínuo. (Silvio Sabino)...",0,1918,34,"Campinas, Brasil",Silvio Sabino Silvao,34,Silvio_A_Sabino,False,,5
1724891383151104427,4,Wed Feb 01 15:30:06 +0000 2012,1724891383151104427,@dariosaadi https://t.co/myMOBeuvoz,False,0,0,0,False,False,False,"A vida, nada mais é um aprendizado, além este universo. O mundo sim, é contínuo. (Silvio Sabino)...",0,1918,34,"Campinas, Brasil",Silvio Sabino Silvao,34,Silvio_A_Sabino,False,,5
1724892460017676572,8,Wed Feb 01 15:30:06 +0000 2012,1724892460017676572,@dariosaadi https://t.co/ErHATCVn3U,False,0,0,0,False,False,False,"A vida, nada mais é um aprendizado, além este universo. O mundo sim, é contínuo. (Silvio Sabino)...",0,1918,34,"Campinas, Brasil",Silvio Sabino Silvao,34,Silvio_A_Sabino,False,,5
1724932201265889370,25,Sun Jun 19 21:55:30 +0000 2022,1724932201265889370,obrigado pela chuva dário saadi,False,0,0,0,False,True,False,Guarani,0,162,25,,rhyanzin,25,rhyanxxs,False,,4
1724891531428172095,9,Wed Feb 01 15:30:06 +0000 2012,1724891531428172095,@dariosaadi https://t.co/4YwJUusNrJ,False,0,0,0,False,False,False,"A vida, nada mais é um aprendizado, além este universo. O mundo sim, é contínuo. (Silvio Sabino)...",0,1918,34,"Campinas, Brasil",Silvio Sabino Silvao,34,Silvio_A_Sabino,False,,5
1724890298348982292,101,Wed Feb 01 15:30:06 +0000 2012,1724890298348982292,@dariosaadi A sua casa tem gerador caso faltar energia Água gelada ar condicionado Aqui onde resido Vila Industrial Campinas Sp o ventilador parou A geladeira desligou Pois em 40 dias a terceira vez que a energia acaba pelo fato não fazer a poda da árvore lado o poste gerador... https://t.co/wqz5Of3J6v,False,0,0,0,False,False,False,"A vida, nada mais é um aprendizado, além este universo. O mundo sim, é contínuo. (Silvio Sabino)...",0,1918,34,"Campinas, Brasil",Silvio Sabino Silvao,34,Silvio_A_Sabino,False,,5
1725873551666724941,112,Wed Jun 17 11:08:11 +0000 2009,1725873551666724941,As intervenções de grande porte não ocorreram e algumas ainda são arrastadas incógnitas para última parte do mandato do prefeito Dário Saadi (Republicanos).  https://t.co/NxswF1qPkw,False,0,0,2,False,False,False,"Jornalista, bugrino e torcedor do Seahawks. Marido da Si, pai do Victor e João Gabriel, amigo do Kobe e eterno amor do Jack.",0,11385,1941,"Campinas, SP",Flávio Paradella,1941,xandson,False,,5
1724450966722768905,17,Wed Jan 13 16:24:24 +0000 2010,1724450966722768905,O salário tava muito ruim né @dariosaadi,False,0,0,0,False,False,False,AVANTE MEU TRICOLOR! ⚪⚫🔴 FORZA NAPO!,0,13194,342,Campinas-SP,Matheus Oliveira,342,LocoMath17,False,,5
1724588497288192124,25,Wed Jan 23 13:52:58 +0000 2019,1724588497288192124,Dario Saadi Prefeito motosserra,False,0,0,1,False,True,False,"Geólogo, professor IG-Unicamp, blogueiro; trabalho com Meio Ambiente, Gestão de Riscos a Desastres, História das (Geo)ciências; perfil pessoal",0,109962,561,CAMPINAS,Jefferson Picanço,561,jeffpicanco1,False,,4
1724891319808782723,60,Wed Feb 01 15:30:06 +0000 2012,1724891319808782723,@dariosaadi Sua geladeira tem água gelada A casa ar condicionado Aqui em casa Vila Industrial Campinas Sp água quente e o ventilador parou O motivo pela terceira vez em 40 dias a árvore encosta no gerador do poste e da um estouro. Então tá Aqui vai minha indignação Silvio Sabino https://t.co/toD4OtmHMx,False,0,0,0,False,False,False,"A vida, nada mais é um aprendizado, além este universo. O mundo sim, é contínuo. (Silvio Sabino)...",0,1918,34,"Campinas, Brasil",Silvio Sabino Silvao,34,Silvio_A_Sabino,False,,5
